iter	Passed	Remaining
0	139	139439
1	141	70390
2	142	47373
3	145	36272
4	147	29287
5	148	24614
6	150	21283
7	152	18881
8	154	17016
9	156	15450
10	157	14162
11	160	13221
12	162	12300
13	163	11517
14	165	10835
15	166	10238
16	167	9710
17	169	9241
18	170	8821
19	172	8443
20	175	8177
21	176	7861
22	178	7571
23	179	7307
24	181	7066
25	182	6842
26	184	6634
27	185	6441
28	186	6261
29	188	6093
30	191	5993
31	193	5841
32	194	5704
33	196	5572
34	197	5447
35	199	5329
36	200	5218
37	201	5112
38	203	5012
39	207	4968
40	209	4890
41	210	4802
42	211	4717
43	213	4638
44	214	4561
45	216	4489
46	217	4418
47	221	4383
48	222	4322
49	224	4258
50	225	4198
51	227	4140
52	228	4083
53	230	4029
54	231	3977
55	232	3927
56	236	3906
57	237	3857
58	238	3811
59	240	3766
60	241	3723
61	243	3681
62	244	3641
63	246	3601
64	247	3563
65	251	3556
66	252	3519
67	254	3483
68	255	3449
69	257	3415
70	258	3382
71	259	3350
72	261	3320
73	262	3289
74	266	3282
75	267	3253
76	269	3225
77	270	3198
78	272	3172
79	273	3147
80	275	3122
81	276	3097
82	277	3062
83	278	3039
84	281	3034
85	283	3010
86	284	2989
87	286	2967
88	287	2947
89	289	2926
90	290	2906
91	292	2886
92	294	2872
93	296	2862
94	298	2846
95	300	2827
96	301	2809
97	303	2791
98	304	2774
99	306	2757
100	307	2740
101	311	2738
102	312	2721
103	313	2705
104	315	2689
105	316	2673
106	318	2657
107	319	2642
108	321	2629
109	323	2614
110	326	2612
111	327	2597
112	329	2583
113	330	2569
114	332	2555
115	333	2542
116	334	2524
117	336	2516
118	338	2504
119	341	2503
120	343	2498
121	345	2489
122	347	2476
123	348	2464
124	350	2452
125	351	2441
126	352	2426
127	356	2428
128	357	2416
129	359	2405
130	360	2393
131	362	2382
132	363	2371
133	365	2362
134	367	2352
135	368	2341
136	371	2341
137	373	2330
138	374	2320
139	376	2310
140	377	2300
141	378	2285
142	381	2283
143	387	2305
144	389	2298
145	391	2288
146	392	2279
147	394	2272
148	396	2263
149	397	2253
150	399	2244
151	402	2246
152	404	2241
153	406	2233
154	408	2224
155	409	2216
156	411	2208
157	413	2201
158	414	2193
159	419	2204
160	420	2192
161	422	2185
162	424	2178
163	425	2171
164	427	2163
165	429	2156
166	434	2165
167	436	2161
168	438	2157
169	440	2150
170	442	2143
171	443	2136
172	445	2130
173	448	2126
174	449	2120
175	451	2113
176	453	2107
177	455	2101
178	456	2094
179	458	2088
180	460	2084
181	462	2078
182	464	2072
183	465	2065
184	467	2059
185	469	2054
186	474	2062
187	476	2056
188	477	2050
189	479	2044
190	481	2038
191	483	2032
192	484	2027
193	491	2040
194	493	2035
195	494	2029
196	496	2023
197	498	2017
198	499	2011
199	506	2024
200	509	2024
201	534	2112
202	537	2110
203	540	2107
204	543	2106
205	552	2129
206	555	2127
207	557	2124
208	559	2118
209	564	2124
210	567	2121
211	570	2121
212	572	2115
213	574	2109
214	575	2102
215	578	2100
216	582	2103
217	584	2097
218	586	2091
219	588	2085
220	593	2093
221	597	2095
222	600	2090
223	601	2085
224	603	2079
225	609	2086
226	613	2088
227	614	2082
228	616	2076
229	618	2070
230	631	2103
231	634	2101
232	647	2132
233	650	2130
234	658	2143
235	661	2142
236	664	2139
237	667	2135
238	677	2157
239	680	2154
240	696	2192
241	698	2188
242	722	2250
243	726	2249
244	726	2249
245	730	2247
246	732	2242
247	735	2238
248	781	2366
249	787	2371
250	787	2371
251	789	2362
252	794	2363
253	796	2359
254	799	2354
255	801	2349
256	804	2343
257	809	2345
258	811	2339
259	813	2334
260	816	2328
261	818	2323
262	957	2702
263	959	2694
264	961	2686
265	964	2680
266	967	2676
267	972	2675
268	975	2670
269	1011	2754
270	1013	2747
271	1015	2739
272	1021	2739
273	1023	2731
274	1026	2726
275	1029	2719
276	1032	2714
277	1034	2706
278	1036	2698
279	1038	2690
280	1042	2686
281	1044	2678
282	1048	2676
283	1051	2669
284	1053	2661
285	1056	2655
286	1058	2648
287	1060	2641
288	1064	2638
289	1067	2631
290	1069	2624
291	1073	2619
292	1075	2613
293	1080	2611
294	1083	2606
295	1085	2600
296	1088	2592
297	1090	2585
298	1092	2577
299	1094	2570
300	1095	2561
301	1097	2553
302	1098	2544
303	1100	2536
304	1102	2527
305	1103	2519
306	1108	2517
307	1109	2509
308	1111	2501
309	1113	2493
310	1114	2485
311	1116	2476
312	1117	2468
313	1119	2460
314	1121	2454
315	1123	2446
316	1124	2439
317	1126	2431
318	1128	2423
319	1129	2415
320	1131	2407
321	1135	2406
322	1137	2398
323	1139	2391
324	1140	2383
325	1142	2376
326	1143	2368
327	1145	2360
328	1146	2353
329	1151	2351
330	1153	2344
331	1154	2337
332	1156	2329
333	1157	2322
334	1159	2315
335	1160	2307
336	1162	2300
337	1166	2298
338	1168	2291
339	1170	2284
340	1171	2277
341	1173	2270
342	1174	2263
343	1176	2256
344	1183	2259
345	1185	2254
346	1188	2250
347	1191	2245
348	1200	2251
349	1202	2245
350	1204	2239
351	1206	2233
352	1215	2240
353	1217	2235
354	1221	2231
355	1223	2225
356	1232	2232
357	1234	2226
358	1237	2221
359	1240	2216
360	1244	2215
361	1247	2211
362	1247	2211
363	1313	2314
364	1316	2308
365	1318	2303
366	1332	2317
367	1335	2312
368	1344	2318
369	1346	2311
370	1349	2306
371	1360	2315
372	1563	2648
373	1594	2690
374	1596	2682
375	1630	2728
376	1692	2819
377	1714	2844
378	1725	2850
379	1728	2842
380	1730	2833
381	1742	2840
382	1744	2832
383	1761	2848
384	1769	2848
385	1772	2840
386	1774	2832
387	1776	2824
388	1779	2816
389	1781	2808
390	1784	2801
391	1786	2793
392	1789	2784
393	1797	2786
394	1799	2777
395	1804	2773
396	1812	2774
397	1817	2770
398	2136	3242
399	2145	3241
400	2147	3231
401	2149	3221
402	2151	3211
403	2164	3216
404	2166	3206
405	2168	3195
406	2195	3222
407	2197	3212
408	2231	3247
409	2233	3237
410	2239	3233
411	2241	3222
412	2243	3212
413	2245	3202
414	2256	3203
415	2258	3193
416	2260	3183
417	2262	3173
418	2264	3162
419	2295	3193
420	2297	3183
421	2302	3176
422	2308	3171
423	2323	3179
424	2337	3184
425	2339	3174
426	2341	3164
427	2344	3156
428	2347	3146
429	2374	3169
430	2376	3160
431	2380	3152
432	2386	3146
433	2389	3138
434	2393	3129
435	2395	3120
436	2401	3115
437	2405	3107
438	2413	3105
439	2416	3096
440	2418	3086
441	2421	3077
442	2424	3069
443	2427	3060
444	2429	3050
445	2433	3043
446	2440	3040
447	2443	3031
448	2446	3022
449	2457	3023
450	2459	3014
451	2462	3005
452	2464	2996
453	2464	2996
454	2467	2981
455	2469	2972
456	2724	3265
457	2787	3327
458	2819	3352
459	2873	3402
460	2875	3391
461	2878	3380
462	2880	3369
463	2884	3360
464	2884	3360
465	2886	3344
466	2893	3338
467	2895	3327
468	2898	3316
469	2901	3306
470	2905	3298
471	2912	3293
472	2915	3282
473	2918	3273
474	2921	3263
475	2923	3252
476	2929	3245
477	2931	3235
478	2933	3224
479	2936	3214
480	2938	3203
481	3027	3288
482	3031	3279
483	3036	3270
484	3038	3259
485	3040	3249
486	3042	3238
487	3044	3227
488	3046	3216
489	3050	3207
490	3052	3197
491	3054	3186
492	3056	3175
493	3058	3165
494	3073	3168
495	3090	3172
496	3092	3161
497	3094	3151
498	3098	3142
499	3100	3131
500	3102	3121
501	3104	3110
502	3106	3100
503	3108	3089
504	3110	3079
505	3114	3071
506	3116	3060
507	3119	3051
508	3121	3041
509	3132	3039
510	3135	3030
511	3137	3020
512	3139	3010
513	3142	3000
514	3149	2995
515	3151	2985
516	3153	2975
517	3156	2965
518	3158	2955
519	3167	2952
520	3170	2943
521	3173	2933
522	3179	2927
523	3181	2917
524	3186	2910
525	3194	2906
526	3202	2902
527	3204	2892
528	3209	2884
529	3211	2874
530	3232	2882
531	3234	2872
532	3237	2863
533	3241	2855
534	3243	2845
535	3245	2835
536	3247	2826
537	3250	2817
538	3258	2813
539	3261	2804
540	3263	2794
541	3265	2785
542	3267	2775
543	3269	2766
544	3272	2757
545	3275	2748
546	3278	2739
547	3280	2730
548	3285	2724
549	3287	2714
550	3290	2705
551	3304	2706
552	3306	2697
553	3308	2687
554	3310	2678
555	3313	2669
556	3316	2661
557	3319	2652
558	3321	2644
559	3323	2635
560	3325	2625
561	3327	2616
562	3330	2607
563	3334	2600
564	3336	2591
565	3339	2583
566	3341	2574
567	3343	2565
568	3347	2558
569	3350	2549
570	3352	2540
571	3354	2532
572	3356	2523
573	3359	2514
574	3361	2506
575	3364	2498
576	3366	2489
577	3368	2481
578	3373	2474
579	3376	2465
580	3380	2458
581	3382	2450
582	3384	2441
583	3386	2432
584	3388	2424
585	3390	2415
586	3392	2407
587	3396	2400
588	3398	2391
589	3400	2383
590	3402	2374
591	3405	2366
592	3423	2369
593	3427	2362
594	3429	2354
595	3431	2346
596	3434	2337
597	3436	2329
598	3438	2321
599	3442	2314
600	3444	2306
601	3447	2298
602	3449	2289
603	3451	2281
604	3459	2277
605	3462	2269
606	3462	2269
607	3491	2273
608	3494	2265
609	3521	2274
610	3524	2265
611	3526	2257
612	3554	2266
613	3557	2258
614	3584	2265
615	3586	2257
616	3588	2249
617	3590	2241
618	3792	2357
619	3795	2348
620	3799	2341
621	3878	2379
622	3880	2370
623	3882	2362
624	3888	2356
625	3891	2347
626	3893	2338
627	3895	2329
628	3897	2321
629	3903	2314
630	3918	2313
631	3921	2305
632	3926	2298
633	3928	2289
634	3934	2283
635	3936	2274
636	3939	2266
637	3941	2257
638	3943	2249
639	3952	2244
640	3954	2235
641	3956	2227
642	3966	2223
643	3969	2214
644	3974	2207
645	3980	2201
646	3983	2193
647	3991	2188
648	3994	2180
649	3997	2172
650	3999	2164
651	4003	2156
652	4005	2148
653	4007	2140
654	4015	2134
655	4018	2126
656	4021	2118
657	4023	2110
658	4026	2102
659	4031	2095
660	4034	2087
661	4037	2080
662	4041	2073
663	4049	2067
664	4052	2059
665	4054	2052
666	4057	2043
667	4058	2035
668	4062	2028
669	4064	2020
670	4066	2011
671	4069	2004
672	4071	1995
673	4073	1987
674	4077	1980
675	4079	1972
676	4081	1964
677	4084	1957
678	4087	1949
679	4089	1941
680	4092	1934
681	4094	1926
682	4097	1918
683	4098	1910
684	4100	1902
685	4101	1894
686	4103	1886
687	4105	1877
688	4108	1870
689	4109	1862
690	4111	1854
691	4115	1847
692	4117	1839
693	4118	1831
694	4120	1824
695	4123	1816
696	4125	1808
697	4127	1801
698	4129	1793
699	4130	1785
700	4132	1777
701	4133	1769
702	4135	1762
703	4138	1755
704	4141	1747
705	4143	1740
706	4144	1732
707	4146	1724
708	4150	1717
709	4151	1710
710	4153	1702
711	4154	1694
712	4156	1687
713	4157	1679
714	4159	1671
715	4160	1664
716	4162	1656
717	4165	1649
718	4167	1642
719	4168	1634
720	4170	1627
721	4171	1619
722	4173	1612
723	4174	1604
724	4176	1597
725	4179	1590
726	4181	1583
727	4182	1575
728	4184	1568
729	4185	1561
730	4187	1553
731	4188	1546
732	4190	1538
733	4191	1531
734	4194	1524
735	4196	1517
736	4198	1510
737	4199	1503
738	4201	1495
739	4202	1488
740	4204	1481
741	4205	1474
742	4207	1467
743	4210	1460
744	4211	1453
745	4213	1446
746	4214	1439
747	4216	1431
748	4217	1424
749	4219	1417
750	4220	1410
751	4222	1403
752	4226	1397
753	4230	1391
754	4232	1384
755	4234	1377
756	4235	1370
757	4237	1363
758	4238	1356
759	4241	1350
760	4243	1343
761	4244	1336
762	4246	1329
763	4247	1322
764	4249	1315
765	4250	1308
766	4252	1301
767	4253	1295
768	4257	1288
769	4258	1282
770	4260	1275
771	4261	1268
772	4263	1261
773	4264	1254
774	4266	1248
775	4267	1241
776	4271	1235
777	4273	1228
778	4275	1222
779	4277	1215
780	4280	1209
781	4282	1203
782	4287	1197
783	4289	1190
784	4291	1184
785	4294	1178
786	4296	1171
787	4298	1165
788	4302	1159
789	4304	1152
790	4306	1146
791	4308	1140
792	4310	1133
793	4313	1127
794	4316	1121
795	4319	1115
796	4322	1109
797	4323	1102
798	4325	1096
799	4327	1089
800	4328	1083
801	4332	1077
802	4333	1071
803	4335	1064
804	4336	1058
805	4338	1052
806	4340	1045
807	4341	1039
808	4343	1033
809	4346	1027
810	4348	1021
811	4351	1014
812	4352	1008
813	4354	1002
814	4356	996
815	4358	990
816	4360	983
817	4362	977
818	4364	971
819	4366	965
820	4367	959
821	4369	953
822	4371	947
823	4377	941
824	4379	935
825	4382	929
826	4385	924
827	4386	917
828	4388	911
829	4395	906
830	4397	900
831	4400	895
832	4402	888
833	4403	882
834	4411	878
835	4413	871
836	4414	865
837	4417	860
838	4419	854
839	4427	849
840	4429	843
841	4430	837
842	4432	831
843	4434	825
844	4439	820
845	4442	814
846	4443	808
847	4445	802
848	4446	796
849	4448	790
850	4450	784
851	4457	779
852	4458	773
853	4460	768
854	4462	762
855	4464	756
856	4465	750
857	4472	745
858	4473	739
859	4475	733
860	4476	727
861	4478	722
862	4480	716
863	4481	710
864	4487	705
865	4488	699
866	4490	693
867	4491	687
868	4493	682
869	4495	676
870	4496	670
871	4499	665
872	4501	659
873	4502	653
874	4504	647
875	4505	642
876	4507	636
877	4509	630
878	4514	625
879	4516	620
880	4518	614
881	4519	608
882	4521	603
883	4522	597
884	4524	591
885	4529	586
886	4531	581
887	4533	575
888	4535	570
889	4536	564
890	4538	558
891	4539	553
892	4553	549
893	4555	543
894	4560	538
895	4562	533
896	4564	527
897	4565	522
898	4567	516
899	4569	511
900	4575	506
901	4577	500
902	4579	495
903	4581	489
904	4582	484
905	4584	478
906	4586	473
907	4593	468
908	4596	463
909	4598	457
910	4600	452
911	4602	447
912	4611	442
913	4613	436
914	4616	431
915	4617	426
916	4627	421
917	4629	416
918	4632	410
919	4643	406
920	4645	401
921	4647	395
922	4655	390
923	4661	385
924	4663	380
925	4672	375
926	4677	370
927	4680	365
928	4688	360
929	4691	355
930	4694	350
931	4695	344
932	4702	339
933	4704	334
934	4705	329
935	4707	323
936	4708	318
937	4710	313
938	4715	308
939	4717	303
940	4719	297
941	4720	292
942	4722	287
943	4724	282
944	4726	276
945	4730	271
946	4732	266
947	4734	261
948	4736	256
949	4737	250
950	4739	245
951	4740	240
952	4745	235
953	4747	230
954	4749	225
955	4750	220
956	4752	214
957	4754	209
958	4756	204
959	4760	199
960	4762	194
961	4764	189
962	4766	184
963	4767	179
964	4769	174
965	4771	168
966	4776	164
967	4778	158
968	4779	153
969	4781	148
970	4783	143
971	4784	138
972	4786	133
973	4791	128
974	4793	123
975	4795	118
976	4797	113
977	4798	108
978	4800	103
979	4801	98
980	4806	93
981	4808	88
982	4810	83
983	4811	78
984	4813	73
985	4815	68
986	4816	63
987	4822	58
988	4824	53
989	4825	49
990	4827	44
991	4829	39
992	4830	34
993	4832	29
994	4835	24
995	4837	19
996	4838	14
997	4840	9
998	4841	4
999	4843	0
